Id Baladeur,Activité,Jour,Mois,Année,Moment Matin ou Après-midi,Nombre de chiens pris en charge,Tarifs d'activité
8,Garde,17,5,2026,Matin,5,11
27,Garde,4,6,2026,Matin,5,7
19,Balade,15,5,2026,Après-midi,3,8
17,Garde,7,6,2026,Matin,3,7
35,Garde,10,6,2026,Matin,5,9
46,Garde,7,6,2026,Matin,4,14
36,Garde,28,5,2026,Après-midi,5,13
39,Garde,7,6,2026,Après-midi,5,10
2,Balade,25,5,2026,Matin,5,14
7,Garde,16,5,2026,Après-midi,2,13
8,Garde,9,6,2026,Après-midi,5,10
20,Garde,7,6,2026,Matin,3,13
1,Balade,5,6,2026,Après-midi,3,14
17,Garde,7,6,2026,Matin,3,9
7,Garde,8,6,2026,Matin,4,13
31,Balade,8,6,2026,Après-midi,1,8
27,Balade,15,5,2026,Matin,1,10
35,Balade,20,5,2026,Matin,1,11
49,Garde,3,6,2026,Matin,3,11
37,Garde,23,5,2026,Matin,4,11
39,Garde,3,6,2026,Matin,2,13
38,Garde,7,6,2026,Matin,5,13
25,Balade,31,5,2026,Après-midi,1,6
23,Garde,30,5,2026,Matin,5,10
44,Garde,2,6,2026,Après-midi,4,11
11,Balade,19,5,2026,Après-midi,5,9
39,Balade,22,5,2026,Après-midi,1,8
12,Balade,21,5,2026,Après-midi,2,10
44,Balade,5,5,2026,Matin,2,11
12,Garde,9,6,2026,Après-midi,1,9
12,Garde,6,6,2026,Après-midi,4,16
27,Garde,15,5,2026,Après-midi,5,10
8,Garde,27,5,2026,Matin,2,6
6,Garde,7,6,2026,Matin,1,9
11,Garde,18,5,2026,Matin,5,12
36,Balade,10,6,2026,Après-midi,5,7
17,Balade,3,6,2026,Matin,1,12
47,Balade,21,5,2026,Après-midi,3,11
5,Garde,3,6,2026,Après-midi,3,6
27,Garde,14,5,2026,Matin,1,8
20,Balade,4,6,2026,Après-midi,4,11
42,Balade,6,6,2026,Matin,5,10
44,Balade,9,6,2026,Après-midi,4,9
23,Balade,1,6,2026,Après-midi,3,9
50,Balade,10,6,2026,Après-midi,5,14
35,Garde,7,5,2026,Matin,2,11
8,Balade,5,6,2026,Après-midi,1,10
9,Garde,7,6,2026,Matin,4,11
50,Balade,6,5,2026,Après-midi,3,13
15,Balade,1,6,2026,Après-midi,4,8
