Id Baladeur,Activité,Jour,Mois,Année,Moment Matin ou Après-midi,Nombre de chiens pris en charge,Tarifs d'activité
21,Balade,19,8,2026,Matin,2,11
42,Garde,21,7,2026,Après-midi,1,11
1,Balade,2,7,2026,Matin,5,13
48,Garde,12,8,2026,Matin,5,13
22,Balade,12,7,2026,Après-midi,4,11
31,Garde,18,6,2026,Après-midi,2,10
1,Garde,23,8,2026,Après-midi,1,11
6,Garde,18,7,2026,Après-midi,2,12
7,Balade,7,8,2026,Après-midi,5,6
26,Garde,31,8,2026,Matin,5,7
10,Garde,18,7,2026,Après-midi,3,6
38,Balade,30,6,2026,Après-midi,3,11
23,Balade,7,7,2026,Matin,5,11
28,Garde,6,8,2026,Matin,2,9
10,Balade,30,6,2026,Matin,5,12
46,Balade,3,7,2026,Après-midi,3,8
10,Balade,17,6,2026,Après-midi,4,7
47,Balade,9,7,2026,Après-midi,1,9
32,Balade,17,8,2026,Matin,3,12
30,Garde,17,6,2026,Matin,4,13
17,Balade,21,6,2026,Après-midi,5,11
21,Garde,11,7,2026,Matin,2,13
15,Garde,14,7,2026,Après-midi,2,7
48,Balade,9,7,2026,Après-midi,1,9
29,Garde,24,6,2026,Après-midi,2,9
10,Balade,10,7,2026,Après-midi,4,10
36,Garde,14,8,2026,Après-midi,1,12
32,Balade,12,7,2026,Après-midi,1,14
47,Balade,20,6,2026,Après-midi,2,9
42,Garde,28,7,2026,Après-midi,3,6
49,Balade,4,8,2026,Après-midi,3,6
14,Garde,9,8,2026,Après-midi,1,11
13,Balade,18,6,2026,Après-midi,2,15
14,Balade,10,8,2026,Matin,5,10
34,Balade,16,6,2026,Après-midi,4,6
36,Balade,22,7,2026,Après-midi,3,9
39,Garde,16,7,2026,Après-midi,3,6
32,Balade,23,6,2026,Après-midi,3,13
30,Balade,9,7,2026,Après-midi,3,8
4,Garde,27,6,2026,Après-midi,4,11
33,Garde,11,7,2026,Après-midi,3,8
36,Balade,31,7,2026,Après-midi,1,14
14,Balade,8,7,2026,Matin,4,10
34,Balade,7,8,2026,Après-midi,4,7
44,Garde,21,7,2026,Après-midi,5,11
35,Balade,25,6,2026,Matin,2,7
43,Balade,28,8,2026,Matin,3,13
12,Balade,31,7,2026,Après-midi,2,10
12,Balade,26,6,2026,Matin,4,11
32,Balade,8,7,2026,Après-midi,5,7
