Id Baladeur,Activité,Jour,Mois,Année,moment,Tarifs d'activité,Id Chien
8,Balade,30,6,2026,Matin,14,21
40,Garde,28,6,2026,Après-midi,12,36
38,Balade,16,6,2026,Matin,6,29
7,Balade,29,6,2026,Après-midi,12,29
14,Garde,21,6,2026,Après-midi,14,26
48,Balade,27,6,2026,Après-midi,6,33
35,Garde,23,6,2026,Matin,14,19
46,Garde,16,6,2026,Après-midi,10,46
28,Garde,30,6,2026,Après-midi,14,6
28,Garde,22,6,2026,Après-midi,14,33
37,Balade,25,6,2026,Matin,12,31
4,Balade,27,6,2026,Après-midi,10,46
31,Balade,29,6,2026,Matin,12,57
30,Garde,27,6,2026,Après-midi,10,44
43,Garde,28,6,2026,Après-midi,10,20
19,Garde,16,6,2026,Matin,6,54
39,Garde,21,6,2026,Matin,8,30
32,Garde,28,6,2026,Après-midi,10,30
3,Garde,21,6,2026,Après-midi,14,54
7,Garde,23,6,2026,Matin,15,29
47,Balade,26,6,2026,Après-midi,14,31
24,Balade,27,6,2026,Après-midi,6,7
1,Balade,23,6,2026,Matin,12,6
13,Balade,25,6,2026,Matin,12,16
18,Garde,18,6,2026,Matin,8,43
38,Garde,27,6,2026,Matin,10,37
31,Balade,25,6,2026,Après-midi,6,38
43,Balade,28,6,2026,Après-midi,10,11
25,Balade,24,6,2026,Matin,10,52
7,Balade,16,6,2026,Après-midi,12,25
50,Balade,24,6,2026,Après-midi,8,2
20,Garde,30,6,2026,Matin,10,29
30,Balade,18,6,2026,Matin,10,37
22,Balade,26,6,2026,Matin,10,30
3,Balade,16,6,2026,Matin,10,13
49,Balade,23,6,2026,Matin,6,42
34,Balade,18,6,2026,Matin,10,14
28,Garde,29,6,2026,Matin,10,35
12,Balade,20,6,2026,Après-midi,10,23
50,Garde,20,6,2026,Après-midi,8,53
34,Garde,17,6,2026,Après-midi,14,31
14,Balade,17,6,2026,Après-midi,12,15
27,Balade,16,6,2026,Après-midi,14,35
23,Balade,17,6,2026,Après-midi,10,36
37,Balade,25,6,2026,Après-midi,10,47
43,Balade,17,6,2026,Après-midi,6,36
28,Balade,26,6,2026,Matin,12,11
47,Balade,26,6,2026,Matin,10,52
18,Balade,20,6,2026,Après-midi,8,38
17,Balade,22,6,2026,Après-midi,10,5
